productId,clicks,impressions,ctr
102311,0,1,0.0000
102881,0,1,0.0000
103071,0,2,0.0000
104465,0,1,0.0000
104731,0,1,0.0000
104851,0,1,0.0000
104889,0,1,0.0000
105172,0,1,0.0000
105453,0,1,0.0000
107524,0,1,0.0000
108644,0,1,0.0000
108660,0,1,0.0000
108752,0,1,0.0000
109140,0,1,0.0000
111037,0,1,0.0000
111597,0,4,0.0000
112670,0,1,0.0000
114730,0,1,0.0000
115494,0,1,0.0000
115789,0,1,0.0000
115792,0,1,0.0000
115877,0,1,0.0000
116132,0,1,0.0000
116465,0,1,0.0000
117102,0,1,0.0000
117588,0,1,0.0000
118784,0,1,0.0000
120690,0,1,0.0000
122003,0,1,0.0000
122145,0,1,0.0000
122363,0,1,0.0000
122838,0,1,0.0000
123078,0,2,0.0000
123790,0,1,0.0000
124495,0,1,0.0000
124762,0,1,0.0000
129933,0,1,0.0000
129960,0,1,0.0000
132034,0,1,0.0000
132405,0,3,0.0000
132758,0,1,0.0000
133240,0,1,0.0000
133494,0,1,0.0000
134187,0,1,0.0000
134325,0,1,0.0000
135094,0,1,0.0000
135619,0,1,0.0000
135787,0,1,0.0000
136126,0,1,0.0000
137088,0,1,0.0000
137092,0,1,0.0000
138321,0,1,0.0000
138944,0,1,0.0000
139186,0,1,0.0000
139964,0,1,0.0000
143055,0,1,0.0000
144103,0,1,0.0000
144397,0,1,0.0000
145402,0,1,0.0000
145437,0,1,0.0000
145692,0,1,0.0000
145943,0,1,0.0000
146965,0,1,0.0000
148832,0,1,0.0000
149778,0,1,0.0000
150118,0,2,0.0000
150326,0,1,0.0000
150855,0,1,0.0000
151475,0,1,0.0000
151483,0,1,0.0000
151627,0,1,0.0000
152017,0,1,0.0000
152412,0,1,0.0000
152496,0,1,0.0000
15389,0,1,0.0000
154807,0,1,0.0000
155947,0,1,0.0000
157615,0,1,0.0000
158535,0,1,0.0000
158567,0,1,0.0000
158896,0,1,0.0000
158904,0,1,0.0000
158960,0,1,0.0000
159033,0,1,0.0000
160334,0,1,0.0000
160342,0,1,0.0000
160506,0,1,0.0000
162696,0,1,0.0000
163604,0,1,0.0000
163745,0,1,0.0000
165890,0,1,0.0000
166060,0,2,0.0000
166151,0,2,0.0000
166653,0,1,0.0000
167320,0,1,0.0000
167607,0,1,0.0000
168065,0,1,0.0000
168133,0,1,0.0000
168562,0,1,0.0000
168639,0,1,0.0000
168777,0,1,0.0000
169529,0,1,0.0000
171456,0,1,0.0000
171734,0,1,0.0000
172780,0,1,0.0000
175858,0,1,0.0000
175899,0,1,0.0000
176420,0,1,0.0000
177091,0,1,0.0000
177242,0,1,0.0000
177584,0,1,0.0000
179378,0,1,0.0000
179385,0,3,0.0000
179391,0,1,0.0000
179406,0,1,0.0000
179408,0,1,0.0000
179413,0,1,0.0000
179815,0,1,0.0000
180763,0,1,0.0000
180910,0,1,0.0000
181393,0,1,0.0000
182285,0,1,0.0000
182384,0,1,0.0000
183197,0,1,0.0000
184519,0,1,0.0000
184645,0,1,0.0000
184708,0,1,0.0000
